"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 18 16:47:33 IST 2022","Tue Oct 18 16:47:45 IST 2022","12244","","VerifyingAddedClientInHomePage","","VerifyingAddedClientInHomePage","EnteringTheURL","EnteringTheURL",""
"broken","Tue Oct 18 16:47:45 IST 2022","Tue Oct 18 16:47:45 IST 2022","38","","VerifingAddedPaymentInPaymentModule","","VerifingAddedPaymentInPaymentModule","Click on addPayment link","Click on addPayment link",""
"failed","Tue Oct 18 15:54:10 IST 2022","Tue Oct 18 15:54:21 IST 2022","10897","","ValidatingPaymentRecordInHomePage","","ValidatingPaymentRecordInHomePage","ValidateTheCountAfterAddingPayment","ValidateTheCountAfterAddingPayment",""
"broken","Tue Oct 18 16:47:45 IST 2022","Tue Oct 18 16:47:45 IST 2022","23","","VerifingAddedPaymentInPaymentModule","","VerifingAddedPaymentInPaymentModule","LoginToTheApplication","LoginToTheApplication",""
"broken","Tue Oct 18 16:47:45 IST 2022","Tue Oct 18 16:47:45 IST 2022","78","","VerifingAddedPaymentInPaymentModule","","VerifingAddedPaymentInPaymentModule","Click on required client status","Click on required client status",""
"broken","Tue Oct 18 16:47:45 IST 2022","Tue Oct 18 16:47:45 IST 2022","27","","VerifyingAddedClientInHomePage","","VerifyingAddedClientInHomePage","LoginToTheApplication","LoginToTheApplication",""
"passed","Tue Oct 18 17:21:22 IST 2022","Tue Oct 18 17:21:22 IST 2022","522","","ValidatingPaymentRecordInHomePage","","ValidatingPaymentRecordInHomePage","EnteringTheURL","EnteringTheURL",""
"passed","Tue Oct 18 15:54:08 IST 2022","Tue Oct 18 15:54:08 IST 2022","723","","ValidatingPaymentRecordInHomePage","","ValidatingPaymentRecordInHomePage","EnteringTheURL","EnteringTheURL",""
"failed","Tue Oct 18 17:21:23 IST 2022","Tue Oct 18 17:21:34 IST 2022","10623","","ValidatingPaymentRecordInHomePage","","ValidatingPaymentRecordInHomePage","ValidateTheCountAfterAddingPayment","ValidateTheCountAfterAddingPayment",""
"broken","Tue Oct 18 16:47:45 IST 2022","Tue Oct 18 16:47:45 IST 2022","45","","VerifyingAddedClientInHomePage","","VerifyingAddedClientInHomePage","ValidateTheCountAfterAddingClient","ValidateTheCountAfterAddingClient",""
"broken","Tue Oct 18 16:47:45 IST 2022","Tue Oct 18 16:47:46 IST 2022","90","","VerifingAddedPaymentInPaymentModule","","VerifingAddedPaymentInPaymentModule","Enter the req fields on addPayment link and verify in payments","Enter the req fields on addPayment link and verify in payments",""
"passed","Tue Oct 18 17:21:22 IST 2022","Tue Oct 18 17:21:23 IST 2022","785","","ValidatingPaymentRecordInHomePage","","ValidatingPaymentRecordInHomePage","LoginToTheApplication","LoginToTheApplication",""
"broken","Tue Oct 18 16:47:45 IST 2022","Tue Oct 18 16:47:45 IST 2022","34","","VerifingAddedPaymentInPaymentModule","","VerifingAddedPaymentInPaymentModule","Click on client","Click on client",""
"broken","Tue Oct 18 16:47:33 IST 2022","Tue Oct 18 16:47:45 IST 2022","12250","","VerifingAddedPaymentInPaymentModule","","VerifingAddedPaymentInPaymentModule","EnteringTheURL","EnteringTheURL",""
"passed","Tue Oct 18 15:54:08 IST 2022","Tue Oct 18 15:54:10 IST 2022","1428","","ValidatingPaymentRecordInHomePage","","ValidatingPaymentRecordInHomePage","LoginToTheApplication","LoginToTheApplication",""
